word	index	count
operator	3	85
self	4	90654
classes	5	932
in	6	3640
the	7	619
selected	8	1712
package	9	3148
sorted	10	506
a	11	38886
name	12	7810
b	13	2143
index	14	4559
of	15	4384
class	16	13242
rt	17	2158
grapher	18	81
new	19	20707
ds	20	218
data	21	1980
connect	22	156
color	23	4644
blue	24	187
points	25	311
x	26	1420
y	27	1112
add	28	6355
build	29	631
assert	30	14810
view	31	3133
number	32	2947
edges	33	400
equals	34	6262
last	35	1605
trachel	36	312
shape	37	1608
primitive	38	311
failed	39	223
rectangle	40	939
origin	41	568
scale	42	553
corner	43	535
geometry	44	148
path	45	1321
nil	46	10532
flag	47	359
text	48	5688
as	49	7299
roped	50	151
an	51	10231
finder	52	108
start	53	1941
at	54	8805
end	55	1238
reversed	56	120
character	57	1259
search	58	496
from	59	4691
to	60	7325
foreground	61	76
red	62	290
string	63	8554
includes	64	1754
selector	65	3503
if	66	20710
false	67	8455
should	68	1473
true	69	11308
confirm	70	65
value	71	7647
supplying	72	17
answer	73	351
enabled	74	437
read	75	1146
position	76	2458
limit	77	306
min	78	871
requested	79	86
count	80	1031
collection	81	4634
replace	82	468
offset	83	1195
with	84	8930
buffer	85	349
starting	86	392
regex	87	283
rx	88	26
parser	89	2055
preferred	90	36
matcher	91	146
for	92	4910
parse	93	1540
find	94	501
ignore	95	78
case	96	448
boolean	97	824
stream	98	7256
matchers	99	4
handle	100	1120
signed	101	104
long	102	217
subsystem	103	1
put	104	5592
object	105	5461
file	106	2387
integer	107	1676
category	108	883
stops	109	18
parameters	110	379
absent	111	1895
pr	112	1306
environment	113	1081
missed	114	1
named	115	2569
signal	116	712
url	117	1317
presenter	118	1516
block	119	5486
sp	120	724
null	121	196
miller	122	17
on	123	5223
label	124	1880
model	125	3146
set	126	3189
root	127	1059
size	128	5504
subgroups	129	22
query	130	1964
result	131	4025
serialize	132	176
and	133	3770
materialize	134	128
method	135	5443
dictionary	136	1646
fl	137	146
pair	138	89
dict	139	368
w	140	359
width	141	1588
height	142	995
max	143	1445
old	144	940
elements	145	1683
array	146	3616
weak	147	152
all	148	5801
no	149	394
check	150	432
grow	151	27
fill	152	825
super	153	4568
sent	154	38
messages	155	156
remove	156	1812
yourself	157	2343
explicit	158	334
title	159	1257
priority	160	448
stencil	161	197
gt	162	2505
cs	163	35
inspector	164	197
picture	165	191
bloc	166	76
element	167	4887
initialize	168	2321
athens	169	255
composite	170	708
stroke	171	169
paint	172	401
border	173	981
styles	174	42
borders	175	9
canvas	176	1576
editor	177	757
morph	178	3300
call	179	488
attribute	180	707
source	181	2334
