word	index	count
get	3	496
operator	4	15
class	5	2650
list	6	718
index	7	578
test	8	8452
connect	9	78
color	10	1033
prim	11	213
socket	12	59
remote	13	202
address	14	69
size	15	638
scale	16	142
by	17	609
release	18	143
cache	19	205
empty	20	676
case	21	116
statement	22	37
find	23	265
l	24	50
character	25	166
at	26	1743
the	27	151
beginning	28	19
reversed	29	43
supply	30	6
answer	31	46
using	32	251
regex	33	67
match	34	134
of	35	1750
question	36	10
is	37	3163
inheritable	38	4
read	39	365
from	40	2258
buffer	41	81
into	42	213
starting	43	149
count	44	230
replace	45	185
with	46	3486
ignore	47	40
subsystem	48	1
to	49	2887
first	50	306
category	51	265
number	52	480
name	53	1409
url	54	293
set	55	1269
root	56	251
model	57	350
pushes	58	7
presenter	59	141
subgroups	60	3
query	61	308
method	62	1378
dictionary	63	118
area	64	93
grow	65	39
sent	66	24
messages	67	50
gt	68	823
picture	69	28
for	70	3561
as	71	1063
athens	72	72
paint	73	66
on	74	3598
text	75	1112
editor	76	112
morph	77	416
offset	78	229
optimum	79	1
clear	80	152
previous	81	107
evaluations	82	1
terminate	83	22
add	84	1581
ons	85	8
command	86	168
inherited	87	63
classes	88	341
current	89	273
configuration	90	167
literal	91	243
array	92	318
source	93	562
all	94	1266
arrow	95	63
direction	96	76
render	97	504
ui	98	43
float	99	103
register	100	126
pointer	101	87
mc	102	52
package	103	699
change	104	365
internal	105	74
link	106	228
alias	107	38
ref	108	43
ancor	109	4
separate	110	44
output	111	65
files	112	86
object	113	270
compile	114	82
brbg	115	1
simple	116	239
system	117	156
html	118	56
table	119	268
markups	120	18
arguments	121	146
num	122	54
args	123	46
version	124	678
button	125	553
state	126	284
services	127	15
tear	128	104
down	129	334
next	130	553
put	131	461
common	132	24
parent	133	241
if	134	946
found	135	104
none	136	73
window	137	339
bottom	138	171
duration	139	78
closed	140	32
draw	141	219
submorphs	142	28
bounds	143	259
row	144	310
initialize	145	2334
key	146	508
value	147	933
exact	148	54
sortable	149	11
accept	150	475
environment	151	132
