word	index	count
source	3	483
target	4	188
wait	5	64
data	6	243
available	7	65
callback	8	93
position	9	420
dictionary	10	87
when	11	253
changed	12	400
send	13	218
to	14	2508
value	15	809
remove	16	725
all	17	1096
mouse	18	378
down	19	310
from	20	1901
twice	21	20
option	22	105
at	23	1496
if	24	725
absent	25	297
min	26	218
draw	27	213
submorphs	28	31
on	29	3247
athens	30	61
canvas	31	152
write	32	271
byte	33	104
array	34	208
is	35	2671
head	36	88
load	37	250
over	38	136
alias	39	13
attributes	40	140
bounding	41	8
box	42	101
c	43	89
object	44	201
initialize	45	2286
local	46	188
temps	47	18
class	48	2225
renamed	49	23
equals	50	43
file	51	612
name	52	1178
start	53	416
pos	54	8
end	55	292
model	56	283
affect	57	14
in	58	2125
unload	59	23
module	60	25
collections	61	4
allow	62	35
processors	63	19
a	64	124
project	65	312
loaded	66	66
lf	67	18
key	68	396
encoded	69	31
set	70	1177
modal	71	31
menu	72	513
allowed	73	25
example	74	1015
transformation	75	25
block	76	497
node	77	695
control	78	46
button	79	530
selected	80	549
pressed	81	89
border	82	327
style	83	532
for	84	3369
checkbox	85	35
label	86	519
text	87	1027
does	88	58
not	89	341
understand	90	19
working	91	76
copy	92	391
diff	93	79
prior	94	12
entries	95	35
needs	96	19
parenthesis	97	6
keyword	98	45
reset	99	274
coefficients	100	9
composite	101	55
parse	102	210
rule	103	157
be	104	448
directional	105	1
some	106	18
index	107	456
count	108	197
default	109	1160
spotter	110	126
description	111	246
event	112	518
as	113	817
json	114	80
regex	115	39
find	116	214
first	117	234
string	118	658
update	119	531
trachel	120	47
shape	121	207
element	122	637
get	123	459
www	124	1
home	125	22
page	126	133
icon	127	587
result	128	277
affected	129	72
by	130	488
drag	131	97
selection	132	518
color	133	979
decimal	134	19
drop	135	139
item	136	524
selector	137	489
binding	138	54
strategy	139	113
decode	140	36
yourself	141	5
active	142	110
query	143	258
view	144	303
resume	145	26
stream	146	249
new	147	1143
with	148	2578
parameters	149	143
select	150	343
loader	151	23
dialog	152	41
window	153	314
maximize	154	15
form	155	249
nodes	156	255
extent	157	283
depth	158	65
accept	159	469
custom	160	34
entity	161	165
decorate	162	82
browser	163	264
of	164	1479
method	165	1145
message	166	278
search	167	162
opposite	168	23
display	169	252
move	170	182
testwith	171	1
thousands	172	2
separator	173	53
which	174	38
contained	175	25
publish	176	6
html	177	42
footer	178	5
use	179	178
ok	180	54
cancel	181	53
version	182	615
list	183	620
do	184	1088
line	185	386
numbers	186	30
about	187	60
halts	188	4
add	189	1367
visit	190	800
error	191	342
protocols	192	31
construct	193	19
inspect	194	32
return	195	174
values	196	158
group	197	258
length	198	137
external	199	148
type	200	504
decoration	201	39
assert	202	214
successful	203	2
absolute	204	30
annotated	205	20
nan	206	440
gt	207	792
references	208	136
private	209	130
or	210	211
nil	211	77
export	212	74
svg	213	19
translucent	214	17
image	215	188
catching	216	4
errors	217	24
morph	218	408
items	219	385
associated	220	3
drawable	221	36
collapse	222	28
verify	223	14
package	224	598
chars	225	9
bounds	226	209
create	227	540
network	228	10
sum	229	31
number	230	419
disabled	231	62
gen	232	81
store	233	208
pop	234	80
temp	235	134
and	236	588
gradient	237	41
examples	238	93
fit	239	38
contents	240	229
frame	241	90
rectangle	242	136
simple	243	139
clear	244	148
refreshing	245	2
has	246	685
scope	247	257
layer	248	22
widgets	249	66
properties	250	87
headers	251	26
refresh	252	103
dependencies	253	137
id	254	161
identifier	255	31
closeable	256	4
factory	257	27
plugged	258	3
assign	259	11
stepping	260	23
x	261	119
